client_id,name,address,tel,email,sex,date_birth,cluster
1,Kristin Jones,"095 Farrell Loop
Allisonstad, ME 96333",3196876631,dmyers@example.net,F,34745,Clients Économes Réguliers
2,Paula Walker,"Unit 8909 Box 9312
DPO AA 96276",549-659-0065x484,jason91@example.net,M,36424,Nouveaux Clients Explorateurs
3,Joseph Holmes,"85308 Amy Roads Apt. 542
East Joshua, NH 56507",+1-539-486-6376,mbentley@example.com,M,34418,Clients Économes Réguliers
4,Heather Miller,"5445 Andrew Landing
West Margaretport, TN 37727",+1-216-388-1374x49330,pearsonjohn@example.com,F,31048,Clients Fidèles et Actifs
5,Leslie Thompson,"USCGC Thompson
FPO AA 81601",670-461-6780x026,jameskhan@example.net,F,32726,Clients Occasionnels Réactifs
6,Paul Garza,"5793 Jesse Port
New Gregoryburgh, IL 93631",+1-312-625-7297x000,annette75@example.com,M,36348,Nouveaux Clients Explorateurs
7,Rachel Ramirez,"7896 Jones Underpass
Kennethborough, CT 89365",808.821.6238,patriciakelley@example.org,M,32648,Clients Occasionnels Réactifs
8,Walter Raymond,"840 Williams Mountain Apt. 878
Jamesfort, ME 78096",+1-885-814-3738x6156,scottjackson@example.net,M,30747,Clients Fidèles et Actifs
9,Taylor Lewis DDS,"5581 Meadows Oval
Jeffreystad, FM 46831",(241)803-8738x178,christensenmelissa@example.com,M,36508,Nouveaux Clients Explorateurs
10,Michael Barron,"1832 Steven Field Suite 411
Valdezport, RI 53824",405.590.2217,lisamcbride@example.com,F,36354,Nouveaux Clients Explorateurs
11,Mrs. Laura Ramirez,"746 Rebecca Parkways Suite 703
Hernandezbury, FM 49929",630.379.6592,rachaelfischer@example.org,M,30855,Clients Fidèles et Actifs
12,Heather Hernandez,"158 Fernandez Locks
Nancyport, MP 53181",(431)734-8826,chris65@example.com,M,36432,Nouveaux Clients Explorateurs
13,Joshua Robinson,"29853 Johnson Burg Apt. 860
West Richardchester, MS 50725",207.355.0993,chloe40@example.com,F,34530,Clients Économes Réguliers
14,Shannon Miller,"893 Phillips Meadow Apt. 204
New Dean, ID 63275",(305)386-3723,michael94@example.org,F,34627,Clients Économes Réguliers
15,Diana Nguyen,"87335 Katie Camp Suite 596
Tylerport, GU 87876",+1-438-910-6744x1582,bhoover@example.net,M,36561,Nouveaux Clients Explorateurs
16,Michael Kim,"7547 Christina Lake
Adkinsfurt, KY 00634",(852)663-7059,montgomeryjesse@example.org,F,36250,Nouveaux Clients Explorateurs
17,Tammy Gutierrez,"54405 Michelle Circle
Edwardsborough, MT 07520",(419)858-0085x185,lancekeller@example.org,M,32610,Clients Occasionnels Réactifs
18,Arthur Dominguez,"6728 Frank Harbor
Lake Christianchester, AR 67868",458.972.8982x68430,jasmine58@example.org,M,32934,Clients Occasionnels Réactifs
19,Tammy Hardy,"055 James Hollow
New Dawn, AL 06022",001-481-993-7110x173,tinawalton@example.net,F,31081,Clients Fidèles et Actifs
20,Ray Knapp,"0155 Preston Circle
Taylorfurt, NY 87700",001-925-210-3474x21408,smendez@example.com,M,31065,Clients Fidèles et Actifs
21,Shelby Franklin,"0737 Cordova Spurs
Lake Shawnton, DE 87997",293.377.9214,jonathanlopez@example.org,F,32716,Clients Occasionnels Réactifs
22,Catherine Fleming,"Unit 8853 Box 2089
DPO AP 73953",001-242-299-9399x058,aaronleon@example.org,F,32574,Clients Occasionnels Réactifs
23,Lisa Martin,"0527 David Oval
South Tony, NH 50898",+1-687-256-0127,feliciaclements@example.org,M,30895,Clients Fidèles et Actifs
24,Preston Frye,"01138 Smith Haven
Brianville, PA 12826",+1-469-938-0008x12945,robinmartinez@example.net,M,34580,Clients Économes Réguliers
25,Christopher Gonzalez,"748 Martin Ways
Clarkton, NE 99488",+1-709-677-6723,james09@example.net,F,30761,Clients Fidèles et Actifs
26,Danielle Miles,"161 Myers Springs Suite 954
Richardchester, MP 78174",9759392959,hendricksdoris@example.net,F,36434,Nouveaux Clients Explorateurs
27,Kristy Fitzgerald,"965 Thomas Drive Apt. 884
North Micheal, PA 45193",001-816-288-9243x984,woodbrandon@example.net,M,34410,Clients Économes Réguliers
28,Jonathan Harper,"287 Karen Court Suite 623
Lake Triciaside, DC 38111",001-550-446-9633x63883,richardsonmargaret@example.net,F,34541,Clients Économes Réguliers
29,Andrea Jones,"713 Hunt Valleys Suite 850
Howardmouth, NH 34764",5137330775,zavalabrian@example.net,M,32579,Clients Occasionnels Réactifs
30,Ashley Wright,"573 Bernard Key
Dennisview, AZ 58864",001-761-235-2668x5826,eringonzalez@example.com,M,32584,Clients Occasionnels Réactifs
31,Daniel Fritz,"208 Clarke Islands
Hesterborough, WI 48996",6208364300,antonio92@example.com,M,34687,Clients Économes Réguliers
32,Sabrina Rodriguez,"74908 Caroline Island Suite 729
Lake Teresamouth, NE 24530",(459)695-3545,zthomas@example.org,F,36561,Nouveaux Clients Explorateurs
33,John Richardson,"0087 Yolanda Forks
Sanchezstad, FL 57312",(610)302-1457,desiree10@example.com,M,34439,Clients Économes Réguliers
34,Kristin Schneider,"35166 Howard Divide
Lake Christine, LA 52604",857.951.7905x38044,wedwards@example.org,M,36333,Nouveaux Clients Explorateurs
35,Donna Davis,"706 Decker Shoal
West Keith, MT 35084",5733748000,ginascott@example.net,F,30870,Clients Fidèles et Actifs
36,Rebecca Perkins,"414 Jessica Course Suite 480
Lake Jadeton, DE 87828",(555)844-8073x6475,allisonwheeler@example.net,M,30795,Clients Fidèles et Actifs
37,Patrick Stokes,"7369 Rice Grove
East Lauren, AR 04229",359.634.4793,omartin@example.com,F,31107,Clients Fidèles et Actifs
38,James Davis,"USCGC Hansen
FPO AP 25458",001-386-599-1354x73259,timothyhenson@example.org,M,36279,Nouveaux Clients Explorateurs
39,Ashley Horton,"671 Lopez Pike Apt. 021
Smithchester, NE 78573",(529)705-7445,xlopez@example.net,M,32865,Clients Occasionnels Réactifs
40,Robert Harmon,"55816 Baker Islands Suite 024
Brownville, WY 45258",516-290-4238x43230,ddeleon@example.org,F,34552,Clients Économes Réguliers
41,Morgan Stuart,"2297 Kevin Summit Suite 900
Hartmanborough, KS 45577",001-802-317-7226,pruittcasey@example.com,F,34469,Clients Économes Réguliers
42,Ricky Hensley,"USS Stone
FPO AP 27299",+1-695-460-5129,brian58@example.net,F,34415,Clients Économes Réguliers
43,Vanessa Bishop,"3045 Stevens Camp Apt. 543
Kaitlinborough, NC 04846",5234331193,sarah51@example.net,M,36432,Nouveaux Clients Explorateurs
44,Levi Wyatt,"04973 Claire Pass
Mercadofurt, WY 37205",966.497.5569x8708,cynthia24@example.org,M,31058,Clients Fidèles et Actifs
45,Glenn Jackson,"0178 Andrea Street
East Janet, AZ 84432",485.629.6934x0661,roachpatricia@example.net,M,32904,Clients Occasionnels Réactifs
46,Jonathan Ross,"1570 John Plains
Davisberg, IA 96974",(658)728-2838x3243,pearsoneric@example.net,M,31107,Clients Fidèles et Actifs
47,Kenneth Carter,"580 Jane Passage Apt. 563
New Helentown, NV 90464",939.484.0000x2248,pfaulkner@example.net,M,30818,Clients Fidèles et Actifs
48,Brandi Hughes,"99248 Wilson Gateway
South Juliechester, NH 09386",777-327-0062x6606,michael01@example.com,M,34599,Clients Économes Réguliers
